# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
1.382954779659993e-09  1.726570709641440e-04  8.522520200201130e-14
1.417622729261400e-09  1.741896156937095e-04  8.813707213312573e-14
1.453159736005709e-09  1.757357636504864e-04  9.114843147003070e-14
1.489587585441997e-09  1.772956355796662e-04  9.426267923783640e-14
1.526928609240101e-09  1.788693532986940e-04  9.748333080220578e-14
1.565205698880803e-09  1.804570397061500e-04  1.008140216375034e-13
1.604442319689175e-09  1.820588187908534e-04  1.042585114305213e-13
1.644662525219708e-09  1.836748156431867e-04  1.078206883244156e-13
1.685890972002081e-09  1.853051564635333e-04  1.115045733076469e-13
1.728152934656569e-09  1.869499685718257e-04  1.153143247528770e-13
1.771474321388345e-09  1.886093804188693e-04  1.192542431109427e-13
1.815881689870188e-09  1.902835215954468e-04  1.233287757652071e-13
1.861402263523374e-09  1.919725228423097e-04  1.275425220517708e-13
1.908063948206687e-09  1.936765160612808e-04  1.319002384512084e-13
1.955895349323768e-09  1.953956343241359e-04  1.364068439576869e-13
2.004925789359317e-09  1.971300118850383e-04  1.410674256315287e-13
2.055185325854906e-09  1.988797841883105e-04  1.458872443414915e-13
2.106704769835438e-09  2.006450878819788e-04  1.508717407032440e-13
2.159515704697426e-09  2.024260608257666e-04  1.560265412207323e-13
2.213650505570899e-09  2.042228421039738e-04  1.613574646373890e-13
2.269142359166523e-09  2.060355720350238e-04  1.668705285043291e-13
2.326025284120409e-09  2.078643921827883e-04  1.725719559729744e-13
2.384334151848760e-09  2.097094453679116e-04  1.784681828197449e-13
2.444104707925470e-09  2.115708756784684e-04  1.845658647107764e-13
2.505373593995450e-09  2.134488284821767e-04  1.908718847148349e-13
2.568178370237446e-09  2.153434504359453e-04  1.973933610729387e-13
2.632557538389789e-09  2.172548894994186e-04  2.041376552334267e-13
2.698550565353516e-09  2.191832949451911e-04  2.111123801615767e-13
2.766197907387017e-09  2.211288173705750e-04  2.183254089331184e-13
2.835541034907346e-09  2.230916087102575e-04  2.257848836213765e-13
